sample,feature,value,label
PE2110-S1P_93_HQ3065-R02_7,smoothened_af,0.961880228,Contaminated
Normal4,smoothened_af,0.877747187,Normal
Normal4,smoothened_af,0.98159804,Normal
Normal4,smoothened_af,0.96205591,Normal
Normal4,smoothened_af,0.920472522,Normal
Normal4,smoothened_af,0.961968061,Normal
Normal4,smoothened_af,0.98197203,Normal
Normal4,smoothened_af,0.961880228,Normal
Normal4,smoothened_af,0.979609227,Normal
Normal4,smoothened_af,0.972267048,Normal
Normal4,smoothened_af,0.98018123,Normal
Normal4,smoothened_af,0.479878073,Normal
Normal4,smoothened_af,0.98018123,Normal
Normal4,smoothened_af,0.962846879,Normal
Normal4,smoothened_af,0.980002237,Normal
Normal4,smoothened_af,0.952127887,Normal
Normal4,smoothened_af,0.71793287,Normal
Normal4,smoothened_af,0.970675055,Normal
Normal4,smoothened_af,0.997107529,Normal
Normal4,smoothened_af,0.999898446,Normal
Normal4,smoothened_af,0.939070001,Normal
Normal4,smoothened_af,0.961880228,Normal
Normal4,smoothened_af,0.972031549,Normal
Normal4,smoothened_af,0.910371092,Normal
Normal4,smoothened_af,0.973774859,Normal
Normal4,smoothened_af,0.749592374,Normal
Normal4,smoothened_af,0.993817395,Normal
Normal4,smoothened_af,0.875825675,Normal
PE0260-S1-200,smoothened_af,0.921692546,Normal
PE0260-S1-200,smoothened_af,0.983864936,Normal
PE0260-S1-200,smoothened_af,0.989068224,Normal
PE0260-S1-200,smoothened_af,0.980002237,Normal
PE0260-S1-200,smoothened_af,0.99578388,Normal
PE0260-S1-200,smoothened_af,0.866914087,Normal
PE0260-S1-200,smoothened_af,0.980002237,Normal
PE0260-S1-200,smoothened_af,0.980002237,Normal
PE0260-S1-200,smoothened_af,0.99569296,Normal
PE0260-S1-200,smoothened_af,0.98018123,Normal
PE0260-S1-200,smoothened_af,0.792850435,Normal
PE0260-S1-200,smoothened_af,0.992863602,Normal
PE0260-S1-200,smoothened_af,0.962846879,Normal
PE0260-S1-200,smoothened_af,0.99569296,Normal
PE0260-S1-200,smoothened_af,0.971388008,Normal
PE0260-S1-200,smoothened_af,0.936881629,Normal
PE0260-S1-200,smoothened_af,0.988174935,Normal
PE0260-S1-200,smoothened_af,0.849782195,Normal
PE0260-S1-200,smoothened_af,0.997877455,Normal
PE0260-S1-200,smoothened_af,0.960848636,Normal
PE0260-S1-200,smoothened_af,0.99569296,Normal
PE0260-S1-200,smoothened_af,0.996284037,Normal
PE0260-S1-200,smoothened_af,0.929886322,Normal
PE0260-S1-200,smoothened_af,0.983172449,Normal
PE0260-S1-200,smoothened_af,0.996784272,Normal
PE0260-S1-200,smoothened_af,0.986518573,Normal
PE0260-S1-200,smoothened_af,0.962599297,Normal
NGS41-NA12878-R03_90_HQ3065-R02_10,smoothened_af,3.54E-15,Contaminated
NGS41-NA12878-R03_90_HQ3065-R02_10,smoothened_af,0.759785759,Contaminated
NGS41-NA12878-R03_90_HQ3065-R02_10,smoothened_af,0.489602502,Contaminated
NGS41-NA12878-R03_90_HQ3065-R02_10,smoothened_af,0.915056773,Contaminated
NGS41-NA12878-R03_90_HQ3065-R02_10,smoothened_af,0.302645652,Contaminated
NGS41-NA12878-R03_90_HQ3065-R02_10,smoothened_af,3.07E-13,Contaminated
NGS41-NA12878-R03_90_HQ3065-R02_10,smoothened_af,0.180708377,Contaminated
NGS41-NA12878-R03_90_HQ3065-R02_10,smoothened_af,0.026775881,Contaminated
NGS41-NA12878-R03_90_HQ3065-R02_10,smoothened_af,1.48E-17,Contaminated
NGS41-NA12878-R03_90_HQ3065-R02_10,smoothened_af,3.71E-17,Contaminated
NGS41-NA12878-R03_90_HQ3065-R02_10,smoothened_af,0.857044849,Contaminated
NGS41-NA12878-R03_90_HQ3065-R02_10,smoothened_af,1.46E-19,Contaminated
NGS41-NA12878-R03_90_HQ3065-R02_10,smoothened_af,0.104244947,Contaminated
NGS41-NA12878-R03_90_HQ3065-R02_10,smoothened_af,1.60E-21,Contaminated
NGS41-NA12878-R03_90_HQ3065-R02_10,smoothened_af,0.483559324,Contaminated
NGS41-NA12878-R03_90_HQ3065-R02_10,smoothened_af,1.32E-17,Contaminated
NGS41-NA12878-R03_90_HQ3065-R02_10,smoothened_af,0.669796104,Contaminated
NGS41-NA12878-R03_90_HQ3065-R02_10,smoothened_af,4.15E-18,Contaminated
NGS41-NA12878-R03_90_HQ3065-R02_10,smoothened_af,3.21E-19,Contaminated
NGS41-NA12878-R03_90_HQ3065-R02_10,smoothened_af,0.538199825,Contaminated
NGS41-NA12878-R03_90_HQ3065-R02_10,smoothened_af,0.146857454,Contaminated
NGS41-NA12878-R03_90_HQ3065-R02_10,smoothened_af,0.641634155,Contaminated
NGS41-NA12878-R03_90_HQ3065-R02_10,smoothened_af,0.384752091,Contaminated
NGS41-NA12878-R03_90_HQ3065-R02_10,smoothened_af,0.848265728,Contaminated
NGS41-NA12878-R03_90_HQ3065-R02_10,smoothened_af,0.601790217,Contaminated
NGS41-NA12878-R03_90_HQ3065-R02_10,smoothened_af,0.861152427,Contaminated
NGS41-NA12878-R03_90_HQ3065-R02_10,smoothened_af,0.348093912,Contaminated
NGS41-HD832-S1_99_NGS41-HG006-R03_1,smoothened_af,0.383430257,Contaminated
NGS41-HD832-S1_99_NGS41-HG006-R03_1,smoothened_af,0.396273713,Contaminated
NGS41-HD832-S1_99_NGS41-HG006-R03_1,smoothened_af,0.000973567,Contaminated
NGS41-HD832-S1_99_NGS41-HG006-R03_1,smoothened_af,0.267452976,Contaminated
NGS41-HD832-S1_99_NGS41-HG006-R03_1,smoothened_af,0.497891941,Contaminated
NGS41-HD832-S1_99_NGS41-HG006-R03_1,smoothened_af,0.333029092,Contaminated
